㫝	dī
㫟	yán
㫢	qù
㫤	chǎng
㫥	mǐng
㫦	tāo
㫧	bào
㫨	ān
㫫	xiǎn
㫯	mào
㫰	lǎng.làng
㫱	nǎn.nàn
㫲	bèi
㫳	chén
㫵	fēi
㫶	zhǒu
㫷	jī
㫸	jiē
㫹	shù
㫻	kùn
㫼	dié
㫽	lù
㬂	yú
㬃	tái
㬄	chàn
㬅	màn
㬆	mǐn
㬇	huàn
㬈	wēn
㬉	nuǎn
㬊	huǎn.huàn
㬋	hóu
㬌	jìng
㬍	bó
㬎	xiǎn
㬏	lì
㬐	jìn.zī
㬒	mǎng
㬓	piào
㬔	háo
㬕	yáng
㬗	xiàn
㬘	sù
㬙	wěi
㬚	chè
㬛	xī
㬜	jìn
㬝	céng.sōng
㬞	hè
㬟	fēn
㬠	shài.shà
㬡	líng
㬣	duì
㬤	qī
㬥	pù.bó
㬦	yuè
㬧	bó
㬩	huì
㬪	dié
㬫	yàn
㬬	jù
㬭	jiào
㬮	nàn
㬯	liè
㬰	yú
㬱	tì
㬲	tiān
㬳	wǔ
㬴	hǒng
㬵	xiáo
㬶	hào
㬸	tiāo
㬹	zhēng
㬻	huāng.hāng.huǎng
㬼	fù
㬿	tūn
㭁	réng
㭂	jiǎo
㭄	xìn
㭇	yuàn
㭈	jué
㭉	huá
㭋	bàng
㭌	móu
㭎	gāng
㭏	wěi
㭑	mèi
㭒	sì
㭓	biàn
㭔	lú
㭕	qū
㭘	gé.hé
㭙	zhé
㭚	lǚ
㭛	pài.bà
㭜	róng
㭝	qiú.òu
㭞	liè
㭟	gǒng
㭠	xiǎn
㭡	xì.xìn
㭢	xīn
㭤	niǎo
㭨	xié
㭩	liè
㭪	fū
㭫	cuó.cuán
㭬	zhuó
㭭	bā.bèi.biē
㭮	zuò.zǎn
㭯	zhé.dié
㭰	zuī.zuǐ
㭱	hé
㭲	jí
㭴	jiān
㭸	tú
㭹	xián
㭺	yǎn.yàn.ān
㭻	táng
㭼	tà
㭽	dǐ
㭾	jué
㭿	áng
㮀	hán
㮁	xiáo
㮂	jú
㮃	wēi.ruí
㮄	bǎng
㮅	zhuī
㮆	niè
㮇	tiàn
㮈	nài
㮋	yǒu
㮌	mián
㮏	nà.nài.nì
㮐	shěng.sì
㮑	chā.qì
㮒	yān.yīn
㮓	gèn
㮔	chòng.tóng
㮕	ruǎn
㮖	jiá
㮗	qín
㮘	máo
㮙	è
㮚	lì
㮛	chí.yí
㮜	zāng
㮝	hé
㮞	jié
㮟	niǎn.kā
㮡	guàn
㮢	hóu
㮣	gài
㮥	bèn.fàn
㮦	suǒ.sè
㮧	wū.wēn
㮨	jì
㮩	xī
㮪	qióng
㮫	hé.xiá.qià
㮬	wēng
㮭	xián
㮮	jié
㮯	hún.huá
㮰	pí
㮱	shēn
㮲	chōu
